id,idType,label,canonicalFile
blomefield-norfolk-vol5-pp33-cringleford-berford,source,"Blomefield, Norfolk vol. 5 (BHO) — Cringleford, Berford's Manor",data/sources.json
bodge-soldiers-king-philips-war-1891,source,"Bodge, Soldiers in King Philip's War (1891)",data/sources.json
bodleian-ms-tanner-175-marco,source,Bodleian MS Tanner 175 - MARCO,data/sources.json
boston-record-commissioners-fourth-report-1880,source,"Boston Record Commissioners, Fourth Report - Dorchester Town Records (1880)",data/sources.json
boston-town-records-1634-1660,source,Boston Town Records 1634-1660 (Book of Possessions),data/sources.json
boston-record-commissioners-ninth-report-1883,source,Boston Vital Records 1630-1699 (Ninth Record Commissioners' Report),data/sources.json
brackett-genealogy-1907,source,"Brackett, Brackett Genealogy (1907)",data/sources.json
braintree-records-1640-1793-1886,source,"Braintree town records, 1640-1793",data/sources.json
mhs-winthrop-papers-gurdon-to-winthrop-1627,source,"Brampton Gurdon to John Winthrop, 20 Oct. 1627 (Winthrop Papers I:363)",data/sources.json
brooke-catalogue-succession-1619,source,"Brooke, Catalogue and Succession (1619)",data/sources.json
brs-v21,source,BRS v21 (1642 Bucks tax),data/sources.json
burke-landed-gentry-gurney,source,Burke's Landed Gentry - Gurney of Maldon pedigree (tertiary),data/sources.json
burke-ancient-family,source,"Burke, The Ancient Family of Gurney",data/sources.json
bury-st-james-registers,source,"Bury St Edmunds, St James registers",data/sources.json
adams-genesis-massachusetts-town-1892,source,"C. F. Adams, Genesis of the Massachusetts Town (1892)",data/sources.json
adams-history-of-braintree-1891,source,"C. F. Adams, History of Braintree (1891)",data/sources.json
calder-new-haven-colony-1934,source,"Calder, New Haven Colony",data/sources.json
cal-cecil-papers-hatfield,source,"Calendar of Cecil Papers, Hatfield House",data/sources.json
cfr-henry-iv-1405-13,source,"Calendar of Fine Rolls, Henry IV, 1405-13",data/sources.json
cpr-edward-iv-1461-67,source,"Calendar of Patent Rolls, Edward IV, 1461-67",data/sources.json
cpr-edward-iv-henry-vi-1467-77,source,"Calendar of Patent Rolls, Edward IV-Henry VI, 1467-77",data/sources.json
cpr-henry-iv-1399-1401,source,"Calendar of Patent Rolls, Henry IV, 1399-1401",data/sources.json
cpr-henry-vi-1422-29,source,"Calendar of Patent Rolls, Henry VI, 1422-29",data/sources.json
calendar-close-rolls-edward-iii-vols12-14,source,"Calendar of the Close Rolls, Edward III, vols. 12-14",data/sources.json
histoire-de-lorraine-calmet,source,"Calmet, Histoire de Lorraine — Maison de Gournay genealogy",data/sources.json
cul-archivesearch,source,Cambridge University Library ArchiveSearch,data/sources.json
cambridge-core-camden-preface-addenda,source,Camden Old Series - Preface and Addenda,data/sources.json
candidate-d-london-context-web-bundle,source,Candidate D London context web bundle,data/sources.json
candidate-d-london-grine-grene-index-leads-bundle,source,Candidate D London Grine/Grene index-lead bundle,data/sources.json
cape-cod-canal-history,source,Cape Cod Canal history (Mass.gov; Wikipedia),data/sources.json
saint-leu-esserent-cartulary-muller,source,"Cartulaire du prieure de Saint-Leu d'Esserent (1080-1538), ed. Muller",data/sources.json
jenkins-missenden-cartulary-v1,source,"Cartulary of Missenden Abbey, vol. 1 (Jenkins)",data/sources.json
chronicon-beccensis,source,Chronicon Beccensis Abbatiæ,data/sources.json
weymouth-classified-record-births-nash,source,"Classified Record of Weymouth Births (Nash copy, 1879)",data/sources.json
weymouth-classified-record-deaths-nash,source,"Classified Record of Weymouth Deaths (Nash copy, 1879)",data/sources.json
cced-clergy-database,source,Clergy of the Church of England Database (CCEd),data/sources.json
cleveland-battle-abbey-roll-v2-gurnay,source,"Cleveland, Battle Abbey Roll - Gurnay",data/sources.json
cleveland-battle-abbey-roll-introduction,source,"Cleveland, Battle Abbey Roll introduction",data/sources.json
cleveland-battle-abbey-roll-v1-crossrefs,source,"Cleveland, Battle Abbey Roll vol. 1 crossrefs",data/sources.json
cleveland-battle-abbey-roll-v3-crossrefs,source,"Cleveland, Battle Abbey Roll vol. 3 crossrefs",data/sources.json
commissary-court-london-testamentary-index-marc-fitch,source,commissary-court-london-testamentary-index-marc-fitch,data/sources.json
cooke-mapledurham-ors7-1925,source,"Cooke, Early History of Mapledurham",data/sources.json
copinger-manors-suffolk-v3,source,"Copinger, Manors of Suffolk, vol. 3",data/sources.json
folger-corpus-christi-1619,source,Corpus Christi (1619) - Internet Archive / Folger,data/sources.json
csm-39-boston-first-church,source,"CSM 39 — Records of the First Church in Boston, vol. I (1961)",data/sources.json
cummington-vital-records,source,"Cummington, Massachusetts, town vital records (births)",data/sources.json
daniel-history-england-1613-pt1,source,"Daniel, First Part of the Historie of England (1613)",data/sources.json
dashwood-visitation-norfolk-1563-vol1-1878,source,"Dashwood, Visitation of Norfolk 1563, vol. 1 (1878)",data/sources.json
davis-abel-lunt-1963,source,"Davis, Ancestry of Abel Lunt",data/sources.json
decorde-essai-canton-gournay-1861,source,"Decorde, Essai historique et archeologique sur le Canton de Gournay (1861)",data/sources.json
deeds-utoronto-gournay-charter-extracts,source,DEEDS (Toronto) Gournay charter extracts,data/sources.json
folger-demonstration-antichrist-1631,source,Demonstration of Antichrist (1631) - Internet Archive / Folger,data/sources.json
deville-cartulaire-sainte-trinite-rouen,source,"Deville, Cartulaire de la Sainte-Trinite du Mont de Rouen (1840)",data/sources.json
dg-rec-pt3-appendix-lxxxvii-lynn-indenture,source,"DG Record Part III — Lynn Indenture, 1622",data/sources.json
dg-rec-pt1,source,"DG Record, Part I",data/sources.json
dg-rec-pt2,source,"DG Record, Part II",data/sources.json
dg-rec-pt3,source,"DG Record, Part III",data/sources.json
dg-rec-pt4,source,"DG Record, Part IV",data/sources.json
dg-rec-supp,source,"DG Record, Supplement (1858)",data/sources.json
dg-rye-appendix,source,DG Rye Appendix,data/sources.json
dhi-crusaders-leeds,source,"DHI -- Database of Crusaders to the Holy Land, 1095-1149",data/sources.json
dicamillo-gurneys-manor,source,DiCamillo — Gurney's Manor,data/sources.json
digital-commonwealth,source,Digital Commonwealth: Massachusetts Collections Online,data/sources.json
dnb-bocking,source,DNB - Bocking (Nicholas Bocking / Fastolf service note),data/sources.json
dnb-edmund-gurney-1890,source,DNB - Edmund Gurney (d.1648),data/sources.json
domesday-1086,source,Domesday Book (1086),data/sources.json
drake-result-of-researches-1860,source,"Drake, Result of Some Researches (1860)",data/sources.json
dudo-historia,source,"Dudo of Saint-Quentin, Historia Normannorum",data/sources.json
ecipm-mapping-medieval-countryside,source,E-CIPM / Mapping the Medieval Countryside (digital Calendar of Inquisitions Post Mortem),data/sources.json
eaa-occasional-paper-2-ellingham-kiln-1997,source,EAA Occasional Paper 2 - Ellingham Kiln,data/sources.json
early-records-town-of-dedham-vol4-1894,source,"Early Records of Dedham, Massachusetts, vol. 4 (1894)",data/sources.json
early-records-town-of-providence,source,"Early Records of the Town of Providence (21 vols, 1892-1915)",data/sources.json
eyc8-warenne-clay-1949,source,"Early Yorkshire Charters, vol. 8 (Warenne)",data/sources.json
early-yorkshire-charters-vol-8-clay-1949,source,"Early Yorkshire Charters, vol. 8: The Honour of Warenne (Clay 1949)",data/sources.json
eyc9-stuteville-clay-1952,source,"Early Yorkshire Charters, vol. 9 (Stuteville)",data/sources.json
edmund-divine-pcc-probate-negative,source,Edmund Gurney (Divine) probate search — negative,data/sources.json
